,title
Case CS2750693 comments added - eCTD Office VM,36
"ALARM: ""cw-staging-IV-blu-digital-staging8x-DB-FreeableMemory"" in US West (Oregon)",35
Case CS2750973 comments added - Host01 server is slow,35
Case CS2736384 comments added - Maintenance Window for PORTAL-NC20-LIVE-PRODUCTION,34
"ALARM: ""cw-production-registrar-rds-cdaws-dev4-low-FreeableMemory"" in US West (Oregon)",26
"ALARM: ""cw-Registrar-prod-PORTAL-NC20-LIVE-PRODUCTION-Statuscheckfailed"" in US West (Oregon)",25
Change Request CHG0056126 comments added -- Create a web-facing syslog server,18
"ALARM: ""cw-Registrar-prod-PORTAL-NC20-LIVE-PRODUCTION-highMemoryUtilization"" in US West (Oregon)",17
Change Request CHG0056238 comments added -- Create a web-facing syslog server,14
Case CS2740003 comments added - Other Account Questions - AWS Access,14
Change Request CHG0055929 comments added -- Add Read Only Admin to AWS Account nexspec-production,12
Case CS2765946 comments added - Altitude Azure Environment Cost,11
Case CS2736384 response needed - Maintenance Window for PORTAL-NC20-LIVE-PRODUCTION,11
Case CS2743860 comments added - Keyvault Adjustment,11
Change Request CHG0056433 comments added -- Please grant me read access to S3 bucket: prod-rwt-cloudflare-logs,10
Case CS2749358 comments added - asperaproxy.nexspec.com,10
Change Request CHG0056187 comments added -- aws service account for s3 and ec2,10
Case CS2759442 comments added - OpenSearch/Elastic Search,10
Change Request CHG0056146 notification -- CX Portal AWS - Heap EC2 memory monitoring,10
"Case CS2739688 comments added - CloudWatch Alert for: ALARM: ""cw-production-iw-AppServer2-lowdisk"" in US East (N. Virginia)",9
Change Request CHG0056146 comments added -- CX Portal AWS - Heap EC2 memory monitoring,8
Case CS2749312 comments added - EC2 to Lambda,8
"ALARM: ""cw-Nexspec-production-nx.usw2.secure.ec2.tech-edit-0-lowdisk-c"" in US West (Oregon)",8
Case CS2740458 comments added - Add New Service - AWS Marketplace,8
Case CS2751050 comments added - How to get aws cli credentials on demand for automation?,8
RE: Case CS2750693 comments added - eCTD Office VM,8
Case CS2746624 comments added - Create Option Group for RDS,7
"Case CS2747270 comments added - CloudWatch Alert for: ALARM: ""cw-staging-IV-blu-digital-staging8x-DB-FreeableMemory"" in US West (Oregon)",7
"ALARM: ""cw-Registrar-prod-testweb.myfda.com-highMemoryUtilization"" in US West (Oregon)",6
"ALARM: ""cw-production-IV-SES-PROD-VPN2-TunnelState-Down"" in US East (Ohio)",6
Change Request CHG0055023 comments added -- Create a web-facing syslog server,6
Case CS2751050 response needed - How to get aws cli credentials on demand for automation?,6
Change Request CHG0056126 notification -- Create a web-facing syslog server,5
Case CS2749312 response needed - EC2 to Lambda,5
Case CS2754341 comments added - Keyboard not working on Teradici,5
"Case CS2754549 comments added - CloudWatch Alert for: ALARM: ""cw-production-IV-ort-infrastructure-daisy-logicaldisk-I-lowdisk"" in US East (N. Virginia)",4
"ALARM: ""cw-production-IV-odt-infrastructure-ODTMGMT001-logicaldisk-C-lo..."" in US East (N. Virginia)",4
Re: [EXTERNAL] New AWS Account for Smit Patel,4
"Case CS2766479 comments added - CloudWatch Alert for: ALARM: ""cw-production-IV-ohi-infrastructure -OHICPMTEST-StatusCheckFailed"" in US East (N. Virginia)",4
"Case CS2749432 comments added - CloudWatch Alert for: ALARM: ""cw-production-IV-odt-infrastructure-ODTMGMT001-logicaldisk-C-lo..."" in US East (N. Virginia)",4
Case CS2740003 comments added - Alex Marozick - AWS Access,4
Case CS2764229 comments added - OpenSearch/Elastic Search,4
"ALARM: ""cw-production-IV-SES-Stag-VPN1-Tunnel1-Down"" in US East (Ohio)",4
Case CS2754871 comments added - Create Option Group for RDS,4
Case CS2771770 comments added - S3 Bucket Deletion,4
Case CS2763089 response needed - Alert : cw-Registrar-prod-testweb.myfda.com-highMemoryUtilization,3
Case CS2761314 comments added - VPN bandwidth,3
Case CS2754341 response needed - Keyboard not working on Teradici,3
Case CS2763089 comments added - Alert : cw-Registrar-prod-testweb.myfda.com-highMemoryUtilization,3
RE: Case CS2736384 response needed - Maintenance Window for PORTAL-NC20-LIVE-PRODUCTION,3
Case CS2741809 response needed - cw-Nexspec-production-nx.usw2.secure.ec2.tech-edit-1-lowdisk-c,3
"ALARM: ""cw-production-IV-ort-infrastructure-daisy-logicaldisk-I-lowdisk"" in US East (N. Virginia)",3
Case CS2750636 response needed - Cloud One - Communication Errors,3
"Re: [EXTERNAL] FW: ""cw-registrar-prod-myfda-shipments-prod-opensearch-highCPUutilization"" in US East (N. Virginia)",3
Case CS2749358 response needed - asperaproxy.nexspec.com,3
Case CS2750973 solution proposed,3
Case CS2743996 comments added - DB timeouts with Production57,3
Case CS2750636 comments added - Cloud One - Communication Errors,3
"Case CS2747270 response needed - CloudWatch Alert for: ALARM: ""cw-staging-IV-blu-digital-staging8x-DB-FreeableMemory"" in US West (Oregon)",3
"ALARM: ""cw-production-IV-blu-digital-conductor8x-DB-CPUUtilization"" in US West (Oregon)",3
Change CHG0056126 response needed - Create a web-facing syslog server,3
"Case CS2767725 comments added - CloudWatch Alert for: ALARM: ""cw-production-IV-am-sharedservices-BROHNSRV004-logicaldisk-C-lo..."" in US East (N. Virginia)",3
Case CS2743860 response needed - Keyvault Adjustment,3
Case CS2732393 response needed - Other Account Questions - AWS Access,3
"ALARM: ""cw-production-IV-SES-Prod-VPN2-Tunnel1-Down"" in US East (Ohio)",3
RE: Case CS2750973 comments added - Host01 server is slow,3
Case CS2754871 response needed - Create Option Group for RDS,3
Case CS2765946 response needed - Altitude Azure Environment Cost,3
RE: [EXTERNAL] New AWS Account for Smit Patel,2
Case CS2759130 comments added - Host01 Sent Folder Restores,2
Change Request CHG0056187 notification -- aws service account for s3 and ec2,2
Case CS2757560 comments added - What services are currently subscribed & monthly cost,2
Re: Case CS2736384 comments added - Maintenance Window for PORTAL-NC20-LIVE-PRODUCTION,2
Case CS2743996 response needed - DB timeouts with Production57,2
Case CS2737160 response needed - Create IAM Role on AMS account to access S3 bucket on MSC Account,2
Case CS2757560 response needed - What services are currently subscribed & monthly cost,2
"Re: Case CS2739688 comments added - CloudWatch Alert for: ALARM: ""cw-production-iw-AppServer2-lowdisk"" in US East (N. Virginia)",2
Case CS2493168 comments added - Blu Digital Onboarding for MCS,2
RE: Case CS2749312 response needed - EC2 to Lambda,2
Re: Case CS2750973 comments added - Host01 server is slow,2
Change Request CHG0055929 notification -- Add Read Only Admin to AWS Account nexspec-production,2
Case CS2747980 comments added - Amazon Connect Call Center - AWS: 500 Server Error,2
RE: Case CS2736384 comments added - Maintenance Window for PORTAL-NC20-LIVE-PRODUCTION,2
Case CS2736384 solution proposed,2
"ALARM: ""cw-Registrar-prod-MyFDA[NEW]Prod-highMemoryUtilization"" in US West (Oregon)",2
Case CS2747270 solution proposed,2
Case CS2743860 solution proposed,2
Case CS2759072 solution proposed,2
"ALARM: ""cw-Nexspec-production-nx.usw2.secure.ec2.tech-edit-1-lowdisk-c"" in US West (Oregon)",2
Change CHG0056187 response needed - aws service account for s3 and ec2,2
Case CS2741809 comments added - cw-Nexspec-production-nx.usw2.secure.ec2.tech-edit-1-lowdisk-c,2
Case CS2742277 comments added - Alert- Status check failed,1
Incident INC4620507 has been assigned to group Managed Cloud Service â AWS,1
Case CS2737160 closed - Create IAM Role on AMS account to access S3 bucket on MSC Account,1
New AWS Account for Smit Patel,1
