Instance_id,status,create_date,Rsource_type,Account_ID
i-07ca90681590d5605,COMPLETED,01/10/22,EC2,026680511924,omron-backups
i-03254d98ffef38b01,COMPLETED,01/10/22,EC2,026680511924,omron-backups
i-06b79ca732d433936,COMPLETED,01/10/22,EC2,026680511924,omron-backups
i-0cf6bafb3bfec7e96,COMPLETED,01/10/22,EC2,026680511924,omron-backups
i-0b3355ea382bb2bd2,COMPLETED,01/10/22,EC2,026680511924,omron-backups
i-0eab583bc8661c947,COMPLETED,01/10/22,EC2,026680511924,omron-backups
i-04c6e3166673d2e92,COMPLETED,01/10/22,EC2,026680511924,omron-backups
i-0500cb530af204046,COMPLETED,01/10/22,EC2,026680511924,omron-backups
i-0bfd5b417e9c84b99,COMPLETED,01/10/22,EC2,026680511924,omron-backups
vol-0655a2e091e0e0ec3,COMPLETED,01/10/22,EBS,026680511924,omron-backups
i-09f5dea83421aa647,COMPLETED,01/10/22,EC2,026680511924,omron-backups
i-07c9568ece61567d4,COMPLETED,01/10/22,EC2,026680511924,omron-backups
i-07f1bda56c25ea740,COMPLETED,01/10/22,EC2,026680511924,omron-backups
i-00c8e07e0110e9ba6,COMPLETED,01/10/22,EC2,026680511924,omron-backups
i-0cf0958f262af2a49,COMPLETED,01/10/22,EC2,026680511924,omron-backups
i-0c6983d1e1d61e1d7,COMPLETED,01/10/22,EC2,026680511924,omron-backups
i-0c6db25b8a36ce56d,COMPLETED,01/10/22,EC2,026680511924,omron-backups
i-0a715fd9b3d9db3e2,COMPLETED,01/10/22,EC2,026680511924,omron-backups
i-0868fbac82e7f88c1,COMPLETED,01/10/22,EC2,026680511924,omron-backups
i-021418e2707ffc464,COMPLETED,01/10/22,EC2,026680511924,omron-backups
i-0dc949bcbf15bc08d,COMPLETED,01/10/22,EC2,026680511924,omron-backups
i-063d25adc626a2ca4,COMPLETED,01/10/22,EC2,026680511924,omron-backups
i-09317b6a9349dd5ab,COMPLETED,01/10/22,EC2,026680511924,omron-backups
i-0d59590942b0bfbc4,COMPLETED,01/10/22,EC2,026680511924,omron-backups
i-0a19a194af451ba92,COMPLETED,01/10/22,EC2,026680511924,omron-backups
i-04c6e3166673d2e92,COMPLETED,30/09/22,EC2,026680511924,omron-backups
i-07ca90681590d5605,COMPLETED,30/09/22,EC2,026680511924,omron-backups
i-07c9568ece61567d4,COMPLETED,30/09/22,EC2,026680511924,omron-backups
i-063d25adc626a2ca4,COMPLETED,30/09/22,EC2,026680511924,omron-backups
i-0b3355ea382bb2bd2,COMPLETED,30/09/22,EC2,026680511924,omron-backups
i-09f5dea83421aa647,COMPLETED,30/09/22,EC2,026680511924,omron-backups
i-07f1bda56c25ea740,COMPLETED,30/09/22,EC2,026680511924,omron-backups
i-0868fbac82e7f88c1,COMPLETED,30/09/22,EC2,026680511924,omron-backups
i-0a715fd9b3d9db3e2,COMPLETED,30/09/22,EC2,026680511924,omron-backups
i-0cf0958f262af2a49,COMPLETED,30/09/22,EC2,026680511924,omron-backups
i-03254d98ffef38b01,COMPLETED,30/09/22,EC2,026680511924,omron-backups
i-0c6db25b8a36ce56d,COMPLETED,30/09/22,EC2,026680511924,omron-backups
i-0bfd5b417e9c84b99,COMPLETED,30/09/22,EC2,026680511924,omron-backups
i-0d59590942b0bfbc4,COMPLETED,30/09/22,EC2,026680511924,omron-backups
i-0a19a194af451ba92,COMPLETED,30/09/22,EC2,026680511924,omron-backups
i-09317b6a9349dd5ab,COMPLETED,30/09/22,EC2,026680511924,omron-backups
i-06b79ca732d433936,COMPLETED,30/09/22,EC2,026680511924,omron-backups
i-0c6983d1e1d61e1d7,COMPLETED,30/09/22,EC2,026680511924,omron-backups
vol-0655a2e091e0e0ec3,COMPLETED,30/09/22,EBS,026680511924,omron-backups
i-0eab583bc8661c947,COMPLETED,30/09/22,EC2,026680511924,omron-backups
i-0cf6bafb3bfec7e96,COMPLETED,30/09/22,EC2,026680511924,omron-backups
i-00c8e07e0110e9ba6,COMPLETED,30/09/22,EC2,026680511924,omron-backups
i-0dc949bcbf15bc08d,COMPLETED,30/09/22,EC2,026680511924,omron-backups
i-0500cb530af204046,COMPLETED,30/09/22,EC2,026680511924,omron-backups
